sector,district,current_employment,projected_employment_2yr,growth_rate_percent,key_roles_in_demand,skills_gap_percent,avg_salary_offered,training_alignment_score,employer_satisfaction_score,hiring_intent_next_quarter,technology_adoption_level,automation_risk,green_jobs_potential,last_survey_date
IT & Software Services,Mumbai,11778,13357,13.41,Software Developer; Data Analyst; Cloud Engineer; DevOps Engineer; Cybersecurity Analyst,43.21,118924,77.53,40.35,Low,Emerging,Low,High,2026-06-16
Banking & Financial Services,Mumbai,7022,7622,8.56,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,40.4,106470,73.19,62.02,High,Emerging,Medium,Low,2026-08-21
Banking & Financial Services,Pune,22384,23405,4.56,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,40.65,139629,56.1,42.35,No Change,Basic,High,Low,2026-06-14
Banking & Financial Services,Nagpur,43598,48575,11.42,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,50.21,139762,60.17,74.6,Low,Advanced,Low,High,2026-06-29
Banking & Financial Services,Thane,8857,9686,9.37,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,37.48,125718,33.97,49.22,Low,Moderate,Low,High,2026-03-25
Banking & Financial Services,Nashik,17389,18348,5.52,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,20.96,40839,53.51,53.12,High,Emerging,High,Medium,2026-07-07
Banking & Financial Services,Aurangabad,45321,47580,4.98,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,17.93,47679,52.14,62.9,Low,Moderate,Medium,High,2026-03-24
Banking & Financial Services,Solapur,20523,21352,4.04,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,15.16,42002,73.46,64.67,Low,Emerging,High,Low,2026-07-28
Banking & Financial Services,Amravati,45136,49791,10.31,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,34.61,99087,63.04,62.02,No Change,Basic,Low,Low,2026-04-26
Banking & Financial Services,Kolhapur,9196,9807,6.65,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,22.47,44771,37.63,70.67,Medium,Emerging,Medium,Medium,2026-05-22
Banking & Financial Services,Sangli,40010,43621,9.03,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,46.7,88320,41.04,59.39,Medium,Emerging,Low,High,2026-06-30
Banking & Financial Services,Jalgaon,11867,12278,3.47,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,58.56,87367,57.79,78.09,High,Basic,Medium,Medium,2026-03-22
Banking & Financial Services,Akola,22511,24490,8.79,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,58.5,78059,52.98,50.44,Medium,Basic,High,Low,2026-08-19
Banking & Financial Services,Latur,15733,16531,5.07,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,32.1,63671,39.41,42.47,No Change,Moderate,Medium,High,2026-03-28
Banking & Financial Services,Dhule,37862,40367,6.62,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,49.13,89850,52.24,86.53,No Change,Emerging,High,Low,2026-08-05
Banking & Financial Services,Ahmednagar,30160,33268,10.31,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,50.44,41792,79.08,56.97,High,Advanced,Low,Low,2026-04-14
Banking & Financial Services,Chandrapur,41112,44231,7.59,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,35.18,86375,82.44,70.25,High,Emerging,High,Low,2026-06-20
Banking & Financial Services,Parbhani,12896,13555,5.11,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,37.92,89166,77.89,89.61,No Change,Emerging,Medium,High,2026-06-14
Banking & Financial Services,Jalna,46247,50558,9.32,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,15.08,107877,38.57,44.49,High,Advanced,Low,High,2026-03-20
Banking & Financial Services,Bhiwandi,40650,43908,8.02,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,27.65,63604,40.29,50.03,No Change,Emerging,High,Medium,2026-07-30
Banking & Financial Services,Nanded,22332,24872,11.38,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,28.8,95036,32.85,86.8,No Change,Emerging,Medium,High,2026-04-14
Banking & Financial Services,Satara,35773,38548,7.76,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,16.2,43468,78.28,43.29,High,Emerging,High,Medium,2026-04-09
Banking & Financial Services,Beed,18176,19726,8.53,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,41.37,39208,38.63,56.53,No Change,Moderate,Low,Medium,2026-07-25
Banking & Financial Services,Yavatmal,39191,42251,7.81,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,31.83,60721,72.39,46.63,Medium,Advanced,Medium,Low,2026-04-22
Banking & Financial Services,Osmanabad,5172,5358,3.6,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,44.74,68294,62.75,46.51,Medium,Basic,High,Low,2026-03-30
Banking & Financial Services,Raigad,6077,6542,7.67,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,56.83,112187,44.91,44.23,Low,Emerging,High,High,2026-05-19
Banking & Financial Services,Ratnagiri,19016,19834,4.31,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,44.76,76379,34.8,64.08,Low,Basic,Low,Medium,2026-07-05
Banking & Financial Services,Sindhudurg,42479,45368,6.8,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,41.38,53058,44.58,55.52,Medium,Emerging,Medium,Low,2026-04-14
Banking & Financial Services,Wardha,23200,25913,11.7,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,30.29,120638,75.17,51.03,Low,Moderate,High,Medium,2026-07-06
Banking & Financial Services,Washim,17999,18824,4.58,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,18.06,99678,57.93,89.15,High,Basic,Low,High,2026-06-19
Banking & Financial Services,Gondia,18119,19602,8.19,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,24.53,149873,66.4,89.9,No Change,Moderate,Low,Low,2026-05-30
Banking & Financial Services,Bhandara,42615,47505,11.48,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,50.77,76042,56.98,75.89,Low,Moderate,Low,Low,2026-04-18
Banking & Financial Services,Gadchiroli,45428,46883,3.2,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,26.59,101803,72.12,50.0,Medium,Moderate,Low,High,2026-04-13
Banking & Financial Services,Hingoli,43000,44469,3.42,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,36.62,43664,41.25,65.4,No Change,Advanced,Low,High,2026-08-04
Banking & Financial Services,Nandurbar,48787,51117,4.78,Banking Officer; Accountant; Financial Advisor; Insurance Agent; Loan Officer,44.63,132886,36.6,81.48,Medium,Basic,High,Medium,2026-03-25
Automotive,Mumbai,6115,6895,12.76,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,40.05,17959,70.59,54.81,Low,Emerging,Medium,High,2026-04-23
Automotive,Pune,29150,32883,12.81,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,45.6,25723,31.88,73.39,Low,Advanced,Low,Low,2026-07-19
Automotive,Nagpur,26518,28191,6.31,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,56.56,48860,31.46,85.42,Low,Basic,High,Medium,2026-05-30
Automotive,Thane,34551,36358,5.23,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,32.32,26708,42.78,71.57,Medium,Moderate,High,Low,2026-06-16
Automotive,Nashik,26338,29020,10.19,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,32.73,42352,45.75,49.86,Low,Advanced,Low,High,2026-04-10
Automotive,Aurangabad,48470,52466,8.25,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,39.63,43369,51.3,64.42,No Change,Emerging,Medium,High,2026-07-08
Automotive,Solapur,32600,35565,9.1,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,48.91,42308,68.52,87.35,Medium,Moderate,Medium,High,2026-06-27
Automotive,Amravati,45521,47978,5.4,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,59.66,40009,48.05,74.44,Low,Emerging,Low,Medium,2026-08-02
Automotive,Kolhapur,38259,41883,9.47,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,18.87,26542,81.28,46.38,Low,Basic,High,Low,2026-08-27
Automotive,Sangli,33939,37649,10.93,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,38.29,30361,55.56,64.98,Low,Basic,Medium,Low,2026-06-03
Automotive,Jalgaon,10742,11300,5.2,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,22.35,28145,31.83,71.87,Medium,Emerging,High,Medium,2026-08-10
Automotive,Akola,45722,51812,13.32,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,28.07,34885,84.23,68.95,Medium,Advanced,High,Medium,2026-07-08
Automotive,Latur,32058,36033,12.4,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,25.34,25523,65.2,51.17,No Change,Moderate,Low,High,2026-07-26
Automotive,Dhule,12666,13953,10.17,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,39.66,36142,59.41,51.14,Low,Basic,High,High,2026-06-16
Automotive,Ahmednagar,29032,30910,6.47,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,33.87,20473,45.58,63.18,High,Advanced,Low,High,2026-03-15
Automotive,Chandrapur,25815,29261,13.35,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,59.32,41249,76.0,56.36,Medium,Basic,Low,Medium,2026-03-21
Automotive,Parbhani,48347,54118,11.94,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,47.91,34892,43.25,70.69,No Change,Moderate,Low,High,2026-06-15
Automotive,Jalna,28893,31432,8.79,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,39.42,32926,32.34,77.11,No Change,Advanced,Medium,High,2026-03-09
Automotive,Bhiwandi,48445,54298,12.08,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,37.38,16363,57.49,80.01,Low,Emerging,High,High,2026-07-16
Automotive,Nanded,34770,38877,11.81,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,39.05,47280,77.22,83.44,High,Emerging,High,High,2026-03-11
Automotive,Satara,40055,42691,6.58,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,47.45,26760,76.6,64.57,No Change,Emerging,Low,Medium,2026-05-16
Automotive,Beed,48537,55396,14.13,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,56.49,46708,66.56,49.45,No Change,Advanced,Medium,High,2026-06-01
Automotive,Yavatmal,48395,52676,8.85,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,33.55,41912,65.8,87.67,Low,Advanced,Medium,High,2026-05-18
Automotive,Osmanabad,42178,45772,8.52,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,58.92,16652,46.24,85.01,No Change,Advanced,Medium,Medium,2026-07-26
Automotive,Raigad,4695,5083,8.26,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,50.92,43740,36.26,54.57,No Change,Emerging,Low,Low,2026-05-05
Automotive,Ratnagiri,9590,10636,10.91,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,41.67,39944,34.29,86.78,Medium,Emerging,High,High,2026-04-12
Automotive,Sindhudurg,4348,4920,13.16,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,56.45,36243,50.75,71.77,Low,Moderate,Medium,Medium,2026-08-26
Automotive,Wardha,39397,42010,6.63,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,60.0,46570,31.85,40.14,Low,Moderate,Medium,Low,2026-07-11
Automotive,Washim,21106,22725,7.67,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,45.25,43569,47.17,47.76,Medium,Advanced,Medium,Medium,2026-07-16
Automotive,Gondia,13730,14737,7.34,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,17.19,36932,57.05,56.48,High,Moderate,Low,Low,2026-05-07
Automotive,Bhandara,3369,3549,5.36,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,51.93,29375,84.63,88.71,Medium,Advanced,Low,High,2026-08-12
Automotive,Gadchiroli,1368,1550,13.34,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,28.18,35340,30.63,89.42,Low,Advanced,High,Medium,2026-05-26
Automotive,Hingoli,44151,49661,12.48,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,30.58,41636,34.77,41.13,No Change,Moderate,High,High,2026-03-11
Automotive,Nandurbar,30375,32093,5.66,Auto Mechanic; Auto Electrician; Vehicle Painter; Service Advisor; Parts Manager,58.64,16837,80.9,60.56,Low,Emerging,Medium,Medium,2026-08-08
Construction,Mumbai,32936,37784,14.72,Mason; Carpenter; Electrician; Plumber; Site Supervisor,58.89,23941,39.62,62.92,High,Basic,Medium,Low,2026-06-18
Construction,Pune,4628,4912,6.15,Mason; Carpenter; Electrician; Plumber; Site Supervisor,55.25,15770,37.7,51.54,Medium,Basic,Low,Low,2026-07-27
Construction,Nagpur,37063,41454,11.85,Mason; Carpenter; Electrician; Plumber; Site Supervisor,45.73,22500,64.14,46.19,Low,Advanced,Low,High,2026-06-08
Construction,Thane,39138,41300,5.52,Mason; Carpenter; Electrician; Plumber; Site Supervisor,54.44,21279,56.93,58.09,No Change,Basic,High,Medium,2026-07-04
Construction,Nashik,11860,12867,8.49,Mason; Carpenter; Electrician; Plumber; Site Supervisor,35.89,39163,55.82,77.11,High,Advanced,High,Low,2026-06-15
Construction,Aurangabad,2950,3193,8.25,Mason; Carpenter; Electrician; Plumber; Site Supervisor,24.47,33828,63.61,89.27,High,Basic,Medium,Medium,2026-07-15
Construction,Solapur,43688,47730,9.25,Mason; Carpenter; Electrician; Plumber; Site Supervisor,34.33,46329,35.01,68.74,High,Basic,High,Medium,2026-03-28
Construction,Amravati,1933,2105,8.93,Mason; Carpenter; Electrician; Plumber; Site Supervisor,32.5,20663,67.22,84.08,Medium,Emerging,Medium,Low,2026-03-17
Construction,Kolhapur,12474,13943,11.78,Mason; Carpenter; Electrician; Plumber; Site Supervisor,45.23,33687,41.84,87.39,High,Moderate,Low,Low,2026-08-04
Construction,Sangli,2085,2377,14.02,Mason; Carpenter; Electrician; Plumber; Site Supervisor,46.55,25129,45.11,40.0,Low,Moderate,Low,Medium,2026-07-09
Construction,Jalgaon,32856,36269,10.39,Mason; Carpenter; Electrician; Plumber; Site Supervisor,44.01,30994,55.58,86.21,High,Basic,Medium,Medium,2026-07-30
Construction,Akola,6691,7656,14.42,Mason; Carpenter; Electrician; Plumber; Site Supervisor,16.24,20226,84.95,71.12,High,Advanced,Low,Low,2026-08-31
Construction,Latur,25636,28728,12.06,Mason; Carpenter; Electrician; Plumber; Site Supervisor,51.77,15045,80.6,80.94,No Change,Advanced,Low,Low,2026-07-01
Construction,Dhule,13149,13950,6.09,Mason; Carpenter; Electrician; Plumber; Site Supervisor,44.04,39733,35.39,57.78,High,Moderate,Low,High,2026-07-28
Construction,Ahmednagar,3070,3520,14.67,Mason; Carpenter; Electrician; Plumber; Site Supervisor,19.39,37367,36.71,65.74,High,Basic,Medium,Medium,2026-04-11
Construction,Chandrapur,21402,23277,8.77,Mason; Carpenter; Electrician; Plumber; Site Supervisor,17.78,28666,57.1,67.14,Low,Moderate,Medium,High,2026-05-04
Construction,Parbhani,32969,35895,8.88,Mason; Carpenter; Electrician; Plumber; Site Supervisor,22.07,20117,74.03,59.67,Low,Basic,High,Medium,2026-07-22
Construction,Jalna,19040,21814,14.57,Mason; Carpenter; Electrician; Plumber; Site Supervisor,36.3,32999,78.05,41.41,High,Advanced,High,High,2026-04-07
Construction,Bhiwandi,17860,20519,14.89,Mason; Carpenter; Electrician; Plumber; Site Supervisor,50.15,29791,84.84,50.75,Low,Advanced,Low,Medium,2026-05-17
Construction,Nanded,15820,17486,10.53,Mason; Carpenter; Electrician; Plumber; Site Supervisor,55.1,39154,67.98,42.18,Low,Advanced,Medium,Medium,2026-07-16
Construction,Satara,22297,25461,14.19,Mason; Carpenter; Electrician; Plumber; Site Supervisor,28.7,37857,78.93,62.27,High,Advanced,Medium,Medium,2026-03-30
Construction,Beed,30205,34180,13.16,Mason; Carpenter; Electrician; Plumber; Site Supervisor,40.61,36947,80.62,72.27,Medium,Basic,Low,Medium,2026-06-04
Construction,Yavatmal,8805,10071,14.39,Mason; Carpenter; Electrician; Plumber; Site Supervisor,40.36,39968,51.14,75.4,High,Advanced,High,Medium,2026-04-14
Construction,Osmanabad,29131,30794,5.71,Mason; Carpenter; Electrician; Plumber; Site Supervisor,15.46,38436,65.07,83.25,Low,Emerging,Medium,Medium,2026-06-15
Construction,Raigad,48479,55098,13.65,Mason; Carpenter; Electrician; Plumber; Site Supervisor,56.32,40191,54.95,69.02,No Change,Basic,Low,High,2026-06-28
Construction,Ratnagiri,44222,49026,10.86,Mason; Carpenter; Electrician; Plumber; Site Supervisor,23.0,44978,75.38,47.13,High,Basic,Low,High,2026-06-23
Construction,Sindhudurg,21441,23743,10.74,Mason; Carpenter; Electrician; Plumber; Site Supervisor,49.75,26325,39.31,66.93,No Change,Basic,High,Low,2026-05-20
Construction,Wardha,26659,30563,14.65,Mason; Carpenter; Electrician; Plumber; Site Supervisor,35.26,28343,54.1,84.26,Medium,Basic,Medium,Low,2026-04-09
Construction,Washim,32543,34980,7.49,Mason; Carpenter; Electrician; Plumber; Site Supervisor,15.85,15599,75.42,40.04,Low,Advanced,High,Medium,2026-08-07
Construction,Gondia,34838,37117,6.54,Mason; Carpenter; Electrician; Plumber; Site Supervisor,17.13,36579,78.73,66.15,Medium,Advanced,Medium,Low,2026-05-09
Construction,Bhandara,44218,48962,10.73,Mason; Carpenter; Electrician; Plumber; Site Supervisor,21.1,31180,30.28,64.92,Medium,Emerging,Medium,Low,2026-08-01
Construction,Gadchiroli,43457,48793,12.28,Mason; Carpenter; Electrician; Plumber; Site Supervisor,38.42,42934,68.84,83.62,Medium,Advanced,Medium,High,2026-07-03
Construction,Hingoli,28946,33275,14.96,Mason; Carpenter; Electrician; Plumber; Site Supervisor,56.36,24190,35.62,70.49,Low,Advanced,Medium,Low,2026-04-17
Construction,Nandurbar,34300,38845,13.25,Mason; Carpenter; Electrician; Plumber; Site Supervisor,54.81,37667,36.89,41.2,No Change,Emerging,Low,Medium,2026-07-20
Telecommunications,Mumbai,2870,3177,10.71,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,25.16,24243,45.42,52.48,Low,Basic,Medium,High,2026-03-31
Telecommunications,Pune,8839,9551,8.06,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,17.83,59370,53.31,84.42,Medium,Emerging,High,Low,2026-07-28
Telecommunications,Nagpur,4261,4689,10.06,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,57.04,29198,47.2,64.26,No Change,Advanced,Low,High,2026-04-07
Telecommunications,Thane,27985,30154,7.75,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,44.24,57257,79.11,74.24,No Change,Moderate,Low,Low,2026-07-29
Telecommunications,Nashik,47327,52296,10.5,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,53.76,20825,39.16,60.71,No Change,Moderate,High,Low,2026-05-14
Telecommunications,Aurangabad,10741,11446,6.57,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,57.61,62261,50.7,56.14,Low,Advanced,Medium,Medium,2026-03-09
Telecommunications,Solapur,10606,11719,10.5,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,56.89,66338,44.33,60.11,No Change,Moderate,Low,Medium,2026-06-27
Telecommunications,Amravati,32624,35792,9.71,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,48.23,34238,39.93,73.59,Low,Advanced,Medium,Medium,2026-07-17
Telecommunications,Kolhapur,20624,21353,3.53,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,51.85,54350,57.18,60.89,No Change,Basic,Medium,Medium,2026-06-18
Telecommunications,Sangli,38157,42647,11.77,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,15.58,50237,47.18,71.33,Low,Moderate,High,Low,2026-07-12
Telecommunications,Jalgaon,46054,48378,5.05,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,26.32,60844,81.68,69.56,Medium,Emerging,High,High,2026-09-03
Telecommunications,Akola,1136,1205,6.1,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,18.75,20630,84.06,85.93,High,Moderate,Low,Low,2026-06-11
Telecommunications,Latur,25194,28204,11.95,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,40.72,48078,58.67,44.84,No Change,Basic,Medium,High,2026-08-24
Telecommunications,Dhule,5527,6138,11.06,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,35.63,26299,37.47,48.4,Medium,Advanced,Medium,Low,2026-05-31
Telecommunications,Ahmednagar,31455,33863,7.66,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,28.63,31237,73.04,46.93,High,Moderate,Low,High,2026-08-09
Telecommunications,Chandrapur,17796,19642,10.38,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,28.33,42965,74.23,68.34,Low,Moderate,Medium,Low,2026-07-20
Telecommunications,Parbhani,25316,26361,4.13,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,28.9,48638,77.05,74.2,High,Advanced,Low,Medium,2026-08-15
Telecommunications,Jalna,8095,8555,5.68,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,36.04,25768,71.41,72.56,Low,Moderate,High,Low,2026-04-03
Telecommunications,Bhiwandi,45604,48130,5.54,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,39.94,51640,43.87,67.75,Medium,Advanced,Low,High,2026-07-13
Telecommunications,Nanded,13606,14451,6.22,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,17.26,53621,39.61,63.99,Medium,Moderate,Medium,Medium,2026-04-18
Telecommunications,Satara,37704,40642,7.79,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,44.63,42841,66.3,86.81,Medium,Advanced,Low,High,2026-08-13
Telecommunications,Beed,11049,11504,4.12,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,36.82,48834,81.37,70.67,No Change,Moderate,Low,Medium,2026-05-26
Telecommunications,Yavatmal,43593,47702,9.43,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,47.05,36738,61.3,74.58,Medium,Moderate,Low,Low,2026-03-29
Telecommunications,Osmanabad,36194,37471,3.53,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,30.29,34539,45.34,41.67,High,Basic,Low,Medium,2026-08-20
Telecommunications,Raigad,12073,12992,7.62,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,29.97,42228,49.75,88.99,Low,Basic,High,Low,2026-08-25
Telecommunications,Ratnagiri,23005,25356,10.22,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,22.83,37897,80.41,47.3,Low,Advanced,Low,High,2026-04-26
Telecommunications,Sindhudurg,43165,47353,9.7,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,30.88,36502,75.55,51.37,Low,Emerging,High,Low,2026-07-31
Telecommunications,Wardha,39080,41950,7.34,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,42.46,41657,76.41,46.87,Medium,Basic,Low,Medium,2026-04-01
Telecommunications,Washim,31077,32989,6.16,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,48.97,34250,38.69,56.37,High,Emerging,Medium,High,2026-07-27
Telecommunications,Gondia,11350,12002,5.75,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,28.28,65759,64.41,68.33,Low,Moderate,High,Low,2026-04-03
Telecommunications,Bhandara,11180,12252,9.59,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,29.65,50640,84.96,76.98,Low,Moderate,Medium,High,2026-07-13
Telecommunications,Gadchiroli,6253,6809,8.9,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,48.02,42050,62.22,67.82,No Change,Emerging,Medium,Medium,2026-07-02
Telecommunications,Hingoli,4899,5238,6.92,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,40.52,45505,80.82,49.86,No Change,Moderate,High,Low,2026-04-27
Telecommunications,Nandurbar,26551,28552,7.54,Network Technician; Fiber Optic Technician; Tower Technician; Customer Support; Field Engineer,21.94,50790,46.82,73.06,Medium,Moderate,Medium,High,2026-06-17
Logistics & Supply Chain,Mumbai,9480,10477,10.52,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,22.25,55868,72.38,44.91,No Change,Moderate,Medium,Medium,2026-08-29
Logistics & Supply Chain,Pune,18050,18702,3.61,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,55.0,50693,38.26,47.12,Medium,Moderate,Low,Medium,2026-04-10
Logistics & Supply Chain,Nagpur,1482,1556,5.0,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,29.01,38990,62.68,67.5,High,Advanced,Medium,High,2026-06-21
Logistics & Supply Chain,Thane,39326,42828,8.91,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,36.41,52890,35.23,53.39,High,Basic,Medium,High,2026-06-24
Logistics & Supply Chain,Nashik,29172,31419,7.7,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,22.82,58878,60.74,63.07,Low,Moderate,High,High,2026-05-23
Logistics & Supply Chain,Aurangabad,24076,25322,5.18,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,41.39,68203,35.46,82.72,High,Emerging,Medium,High,2026-03-13
Logistics & Supply Chain,Solapur,6341,7101,11.99,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,32.8,61364,78.13,79.3,No Change,Emerging,Medium,Low,2026-03-30
Logistics & Supply Chain,Amravati,23720,25903,9.2,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,19.28,21976,55.13,82.2,No Change,Advanced,Medium,Medium,2026-05-14
Logistics & Supply Chain,Kolhapur,1371,1529,11.55,Warehouse Manager; Logistics Coordinator; Forklift Operator; Supply Chain Analyst; Transportation Manager,23.62,22212,45.7,75.87,No Change,Moderate,Low,Low,2026-06-05
