center_id,center_name,district,course_category,course_name,center_type,total_capacity,current_enrollment,has_computer_lab,has_workshop,equipment_age_years,total_trainers,certified_trainers,batches_completed,students_placed,placement_rate_percent,duration_months,fee_amount,certification,industry_partners,months_since_curriculum_update,contact_email,contact_phone
TC_0122,Skill Development Center - Bhandara 10,Bhandara,Beauty & Wellness,Fitness Training,Private Training Provider,196,119,Yes,Yes,14,9,3,11,70,58.82,3,3187,NSDC,9,42,center122@skilldev.maharashtra.gov.in,+91-9005740127
TC_0123,Skill Development Center - Sindhudurg 6,Sindhudurg,Construction,Bar Bending,Government ITI,199,128,No,No,12,2,2,1,53,41.41,9,37162,NSDC,2,53,center123@skilldev.maharashtra.gov.in,+91-9390169859
TC_0124,Skill Development Center - Osmanabad 9,Osmanabad,Construction,Painting,NGO,166,74,No,No,0,9,1,9,56,75.68,1,38109,NSDC,2,18,center124@skilldev.maharashtra.gov.in,+91-9882734925
TC_0125,Skill Development Center - Amravati 8,Amravati,Media,Video Editing,Industry Training Center,84,37,No,No,7,2,1,11,28,75.68,2,12759,NSDC,1,44,center125@skilldev.maharashtra.gov.in,+91-9634506443
TC_0126,Skill Development Center - Jalgaon 9,Jalgaon,Tourism & Hospitality,Hotel Management,Industry Training Center,122,93,Yes,No,11,13,13,11,5,5.38,2,13379,NSDC,3,50,center126@skilldev.maharashtra.gov.in,+91-9482972175
TC_0127,Skill Development Center - Bhiwandi 2,Bhiwandi,Textile,Quality Inspection,NSDC Partner,283,180,No,Yes,6,15,8,4,82,45.56,12,46378,NSDC,0,31,center127@skilldev.maharashtra.gov.in,+91-9275577494
TC_0128,Skill Development Center - Hingoli 3,Hingoli,Electronics,IoT Basics,Industry Training Center,187,93,Yes,Yes,4,2,1,4,40,43.01,2,26511,State Government,0,31,center128@skilldev.maharashtra.gov.in,+91-9707967969
TC_0129,Skill Development Center - Wardha 6,Wardha,Telecommunications,Field Service,Industry Training Center,130,125,No,Yes,13,11,8,5,47,37.6,1,1777,No Certification,9,30,center129@skilldev.maharashtra.gov.in,+91-9262735331
TC_0130,Skill Development Center - Wardha 8,Wardha,Tourism & Hospitality,Food & Beverage Service,NGO,116,109,Yes,Yes,3,12,6,4,14,12.84,1,41472,NSDC,7,33,center130@skilldev.maharashtra.gov.in,+91-9212558499
TC_0131,Skill Development Center - Aurangabad 8,Aurangabad,Electronics,PCB Design,Government ITI,282,242,Yes,Yes,13,8,2,16,104,42.98,3,33233,NSDC,8,51,center131@skilldev.maharashtra.gov.in,+91-9547688538
TC_0132,Skill Development Center - Chandrapur 1,Chandrapur,Beauty & Wellness,Spa Therapy,Industry Training Center,67,61,No,Yes,4,7,3,2,28,45.9,3,35444,Industry Certified,9,13,center132@skilldev.maharashtra.gov.in,+91-9654367335
TC_0133,Skill Development Center - Amravati 3,Amravati,Telecommunications,Field Service,Industry Training Center,118,42,Yes,No,8,6,2,9,3,7.14,2,33912,Industry Certified,5,38,center133@skilldev.maharashtra.gov.in,+91-9638191591
TC_0134,Skill Development Center - Aurangabad 8,Aurangabad,Manufacturing,Quality Control,Industry Training Center,77,54,No,No,12,13,11,8,20,37.04,6,38130,NSDC,3,54,center134@skilldev.maharashtra.gov.in,+91-9795157760
TC_0135,Skill Development Center - Hingoli 7,Hingoli,Healthcare,Medical Equipment Handling,NGO,101,50,Yes,Yes,14,13,4,18,25,50.0,3,18996,State Government,7,1,center135@skilldev.maharashtra.gov.in,+91-9113329155
TC_0136,Skill Development Center - Amravati 10,Amravati,Logistics,Transportation Management,NGO,95,95,No,Yes,4,6,5,15,52,54.74,1,40030,State Government,4,53,center136@skilldev.maharashtra.gov.in,+91-9574399515
TC_0137,Skill Development Center - Gadchiroli 1,Gadchiroli,Telecommunications,Customer Support,Government ITI,106,44,Yes,No,4,6,3,7,5,11.36,1,20580,No Certification,1,35,center137@skilldev.maharashtra.gov.in,+91-9149587602
TC_0138,Skill Development Center - Raigad 3,Raigad,Tourism & Hospitality,Tour Guide,Industry Training Center,79,67,Yes,No,8,8,7,14,22,32.84,6,23997,Industry Certified,0,19,center138@skilldev.maharashtra.gov.in,+91-9197160675
TC_0139,Skill Development Center - Aurangabad 8,Aurangabad,Manufacturing,Welding Technology,NSDC Partner,199,174,Yes,No,9,7,4,16,18,10.34,2,5157,State Government,4,39,center139@skilldev.maharashtra.gov.in,+91-9593003947
TC_0140,Skill Development Center - Washim 2,Washim,Media,Content Creation,NSDC Partner,140,102,Yes,Yes,7,3,3,20,10,9.8,2,38184,No Certification,8,59,center140@skilldev.maharashtra.gov.in,+91-9259567551
TC_0141,Skill Development Center - Thane 3,Thane,Construction,Painting,NGO,165,104,No,Yes,5,14,1,16,10,9.62,12,5030,State Government,5,2,center141@skilldev.maharashtra.gov.in,+91-9873492463
TC_0142,Skill Development Center - Ahmednagar 7,Ahmednagar,Automotive,Vehicle Painting,NGO,242,223,No,No,4,9,9,7,109,48.88,6,31542,Industry Certified,4,32,center142@skilldev.maharashtra.gov.in,+91-9201358846
TC_0143,Skill Development Center - Jalgaon 8,Jalgaon,Food Processing,Quality Testing,Government ITI,293,233,No,No,8,11,7,18,64,27.47,6,10310,No Certification,10,26,center143@skilldev.maharashtra.gov.in,+91-9045611251
TC_0144,Skill Development Center - Parbhani 9,Parbhani,Healthcare,Pharmacy Assistant,Government ITI,172,114,Yes,No,2,8,5,9,39,34.21,2,42349,State Government,9,25,center144@skilldev.maharashtra.gov.in,+91-9228908020
TC_0145,Skill Development Center - Akola 1,Akola,Textile,Quality Inspection,Government ITI,129,59,No,No,8,9,2,6,3,5.08,1,28900,State Government,1,25,center145@skilldev.maharashtra.gov.in,+91-9596545604
TC_0146,Skill Development Center - Nagpur 9,Nagpur,Manufacturing,Machine Operation,Private Training Provider,119,53,Yes,No,14,8,8,11,12,22.64,2,40895,State Government,9,7,center146@skilldev.maharashtra.gov.in,+91-9591612977
TC_0147,Skill Development Center - Bhandara 10,Bhandara,Tourism & Hospitality,Food & Beverage Service,Government ITI,142,106,No,Yes,9,10,3,9,53,50.0,3,44737,NSDC,1,56,center147@skilldev.maharashtra.gov.in,+91-9568000264
TC_0148,Skill Development Center - Nandurbar 4,Nandurbar,IT & Software,Software Testing,NSDC Partner,152,102,Yes,Yes,13,3,2,20,27,26.47,9,17386,No Certification,3,33,center148@skilldev.maharashtra.gov.in,+91-9078317235
TC_0149,Skill Development Center - Pune 8,Pune,Banking & Finance,Accounting,Government ITI,288,261,No,Yes,2,10,6,2,143,54.79,2,8970,No Certification,1,26,center149@skilldev.maharashtra.gov.in,+91-9266465992
TC_0150,Skill Development Center - Nanded 5,Nanded,Manufacturing,Fitter Training,Industry Training Center,123,114,No,Yes,3,9,6,6,39,34.21,1,45766,NSDC,1,30,center150@skilldev.maharashtra.gov.in,+91-9393097412
TC_0151,Skill Development Center - Osmanabad 10,Osmanabad,IT & Software,Cloud Computing,Private Training Provider,133,96,Yes,No,2,4,4,16,3,3.12,1,48000,Industry Certified,3,13,center151@skilldev.maharashtra.gov.in,+91-9943175340
TC_0152,Skill Development Center - Nandurbar 3,Nandurbar,Telecommunications,Field Service,NGO,111,108,Yes,Yes,4,15,4,17,86,79.63,1,48087,NSDC,10,36,center152@skilldev.maharashtra.gov.in,+91-9526475784
TC_0153,Skill Development Center - Jalna 8,Jalna,Manufacturing,CNC Operation,NSDC Partner,107,50,No,Yes,8,5,2,8,31,62.0,6,2718,State Government,5,25,center153@skilldev.maharashtra.gov.in,+91-9508838627
TC_0154,Skill Development Center - Kolhapur 3,Kolhapur,Textile,Fabric Design,NSDC Partner,259,200,Yes,Yes,5,8,5,16,38,19.0,9,16215,State Government,3,20,center154@skilldev.maharashtra.gov.in,+91-9801683893
TC_0155,Skill Development Center - Chandrapur 7,Chandrapur,Construction,Bar Bending,Government ITI,247,246,Yes,Yes,4,4,4,11,96,39.02,1,32695,Industry Certified,8,14,center155@skilldev.maharashtra.gov.in,+91-9327710870
TC_0156,Skill Development Center - Jalna 4,Jalna,Healthcare,Patient Care,Government ITI,209,191,Yes,Yes,4,6,6,5,71,37.17,1,11177,No Certification,3,23,center156@skilldev.maharashtra.gov.in,+91-9870329419
TC_0157,Skill Development Center - Gadchiroli 3,Gadchiroli,Agriculture,Dairy Management,NGO,228,198,Yes,Yes,0,14,10,8,150,75.76,6,17153,NSDC,0,53,center157@skilldev.maharashtra.gov.in,+91-9847040091
TC_0158,Skill Development Center - Akola 8,Akola,Electronics,Embedded Systems,Industry Training Center,186,149,Yes,No,11,7,3,20,39,26.17,3,17915,Industry Certified,2,51,center158@skilldev.maharashtra.gov.in,+91-9644736396
TC_0159,Skill Development Center - Gondia 3,Gondia,Electronics,Embedded Systems,Industry Training Center,193,105,Yes,Yes,6,14,5,18,27,25.71,2,31797,Industry Certified,5,45,center159@skilldev.maharashtra.gov.in,+91-9480383016
TC_0160,Skill Development Center - Ahmednagar 6,Ahmednagar,Telecommunications,Field Service,Government ITI,109,108,Yes,Yes,3,15,15,13,42,38.89,2,7461,State Government,6,17,center160@skilldev.maharashtra.gov.in,+91-9371886339
TC_0161,Skill Development Center - Raigad 6,Raigad,Banking & Finance,Financial Services,Industry Training Center,58,39,No,Yes,15,3,2,20,5,12.82,12,35383,State Government,3,51,center161@skilldev.maharashtra.gov.in,+91-9969553986
TC_0162,Skill Development Center - Ahmednagar 7,Ahmednagar,Electronics,PCB Design,Private Training Provider,247,235,No,No,0,3,1,11,141,60.0,3,7421,NSDC,3,47,center162@skilldev.maharashtra.gov.in,+91-9279579388
TC_0163,Skill Development Center - Aurangabad 8,Aurangabad,Healthcare,Pharmacy Assistant,Private Training Provider,260,247,Yes,Yes,4,4,1,3,116,46.96,2,35393,State Government,2,41,center163@skilldev.maharashtra.gov.in,+91-9461813544
TC_0164,Skill Development Center - Nagpur 7,Nagpur,Banking & Finance,Insurance,NGO,228,173,No,Yes,0,14,8,1,105,60.69,3,35647,No Certification,3,60,center164@skilldev.maharashtra.gov.in,+91-9638812548
TC_0165,Skill Development Center - Hingoli 7,Hingoli,Beauty & Wellness,Skin Care,NGO,292,112,Yes,No,2,3,1,5,79,70.54,9,20001,State Government,8,56,center165@skilldev.maharashtra.gov.in,+91-9204051403
TC_0166,Skill Development Center - Satara 10,Satara,IT & Software,Software Testing,Private Training Provider,87,85,No,No,6,4,4,20,37,43.53,9,48779,No Certification,3,56,center166@skilldev.maharashtra.gov.in,+91-9737932054
TC_0167,Skill Development Center - Kolhapur 2,Kolhapur,Manufacturing,Industrial Safety,Private Training Provider,235,73,No,No,6,5,2,8,38,52.05,12,25691,NSDC,1,43,center167@skilldev.maharashtra.gov.in,+91-9599243380
TC_0168,Skill Development Center - Raigad 2,Raigad,Banking & Finance,GST & Taxation,Government ITI,136,51,No,No,8,8,6,20,9,17.65,2,40752,No Certification,5,60,center168@skilldev.maharashtra.gov.in,+91-9638795261
TC_0169,Skill Development Center - Bhandara 10,Bhandara,Logistics,Transportation Management,Government ITI,63,51,Yes,Yes,9,9,1,7,11,21.57,2,27276,NSDC,0,53,center169@skilldev.maharashtra.gov.in,+91-9567195189
TC_0170,Skill Development Center - Hingoli 10,Hingoli,Food Processing,Packaging Technology,Government ITI,101,64,No,Yes,3,15,1,12,13,20.31,9,33931,State Government,1,49,center170@skilldev.maharashtra.gov.in,+91-9172850012
TC_0171,Skill Development Center - Mumbai 3,Mumbai,Food Processing,Quality Testing,NGO,274,119,Yes,No,3,8,1,3,2,1.68,12,40730,No Certification,2,48,center171@skilldev.maharashtra.gov.in,+91-9902864330
TC_0172,Skill Development Center - Dhule 3,Dhule,Construction,Masonry,Government ITI,60,24,No,Yes,0,8,1,20,15,62.5,9,19823,No Certification,10,2,center172@skilldev.maharashtra.gov.in,+91-9302266818
TC_0173,Skill Development Center - Sangli 8,Sangli,Manufacturing,Quality Control,Industry Training Center,263,250,No,No,7,3,1,2,154,61.6,3,21893,State Government,1,39,center173@skilldev.maharashtra.gov.in,+91-9780920815
TC_0174,Skill Development Center - Jalna 4,Jalna,Logistics,Supply Chain Basics,Industry Training Center,133,69,Yes,No,2,6,4,6,41,59.42,12,22680,NSDC,7,25,center174@skilldev.maharashtra.gov.in,+91-9871009991
TC_0175,Skill Development Center - Sangli 3,Sangli,Automotive,Four Wheeler Mechanic,Industry Training Center,282,179,Yes,No,9,15,15,9,131,73.18,2,5450,No Certification,10,19,center175@skilldev.maharashtra.gov.in,+91-9802097852
TC_0176,Skill Development Center - Dhule 2,Dhule,Media,Video Editing,Industry Training Center,70,48,No,No,7,13,1,16,12,25.0,6,10658,State Government,10,21,center176@skilldev.maharashtra.gov.in,+91-9516522961
TC_0177,Skill Development Center - Osmanabad 4,Osmanabad,Textile,Machine Operation,Industry Training Center,103,45,No,Yes,3,15,4,17,35,77.78,9,6676,NSDC,2,37,center177@skilldev.maharashtra.gov.in,+91-9344989027
TC_0178,Skill Development Center - Washim 4,Washim,Logistics,Supply Chain Basics,Private Training Provider,223,152,No,Yes,6,6,2,5,29,19.08,3,49908,State Government,2,27,center178@skilldev.maharashtra.gov.in,+91-9324381648
TC_0179,Skill Development Center - Nashik 5,Nashik,IT & Software,Full Stack Development,NSDC Partner,293,291,Yes,Yes,0,7,4,13,200,68.73,3,49474,No Certification,7,27,center179@skilldev.maharashtra.gov.in,+91-9013490058
TC_0180,Skill Development Center - Ratnagiri 6,Ratnagiri,Retail,Customer Service,Government ITI,174,85,Yes,No,5,3,1,18,39,45.88,2,40447,State Government,9,2,center180@skilldev.maharashtra.gov.in,+91-9267287782
TC_0181,Skill Development Center - Solapur 7,Solapur,Media,Graphic Design,NSDC Partner,149,99,Yes,Yes,12,12,12,18,60,60.61,3,48684,Industry Certified,1,41,center181@skilldev.maharashtra.gov.in,+91-9672784884
TC_0182,Skill Development Center - Solapur 7,Solapur,Beauty & Wellness,Spa Therapy,Government ITI,87,43,No,No,10,14,12,19,29,67.44,6,27903,Industry Certified,6,37,center182@skilldev.maharashtra.gov.in,+91-9169224437
TC_0183,Skill Development Center - Wardha 1,Wardha,Agriculture,Food Processing,Private Training Provider,190,97,No,No,9,8,5,18,23,23.71,3,46788,Industry Certified,5,30,center183@skilldev.maharashtra.gov.in,+91-9406997920
TC_0184,Skill Development Center - Chandrapur 8,Chandrapur,Food Processing,Quality Testing,NGO,93,32,Yes,Yes,6,9,7,17,7,21.88,3,10435,NSDC,3,32,center184@skilldev.maharashtra.gov.in,+91-9138594111
TC_0185,Skill Development Center - Parbhani 5,Parbhani,Construction,Masonry,Industry Training Center,241,165,Yes,No,5,3,3,16,15,9.09,3,31147,State Government,6,51,center185@skilldev.maharashtra.gov.in,+91-9531464844
TC_0186,Skill Development Center - Gondia 1,Gondia,Automotive,Two Wheeler Mechanic,Private Training Provider,234,82,Yes,Yes,8,5,2,2,62,75.61,6,36998,NSDC,0,41,center186@skilldev.maharashtra.gov.in,+91-9098856424
TC_0187,Skill Development Center - Kolhapur 4,Kolhapur,Healthcare,Nursing Assistant,Private Training Provider,113,97,No,Yes,10,7,3,1,54,55.67,2,31819,NSDC,8,8,center187@skilldev.maharashtra.gov.in,+91-9054538843
TC_0188,Skill Development Center - Raigad 10,Raigad,Automotive,Two Wheeler Mechanic,NGO,143,78,No,Yes,13,8,8,13,17,21.79,12,28371,State Government,10,40,center188@skilldev.maharashtra.gov.in,+91-9854125907
TC_0189,Skill Development Center - Nagpur 2,Nagpur,Media,Content Creation,Industry Training Center,139,51,Yes,No,10,15,14,9,30,58.82,2,31619,NSDC,4,11,center189@skilldev.maharashtra.gov.in,+91-9842699062
TC_0190,Skill Development Center - Nashik 6,Nashik,Food Processing,Food Safety,Private Training Provider,110,104,No,No,15,14,1,1,0,0.0,9,34715,Industry Certified,4,59,center190@skilldev.maharashtra.gov.in,+91-9371393486
TC_0191,Skill Development Center - Thane 4,Thane,Media,Graphic Design,NSDC Partner,210,184,No,Yes,6,10,2,6,49,26.63,3,19470,State Government,10,14,center191@skilldev.maharashtra.gov.in,+91-9461888233
TC_0192,Skill Development Center - Nagpur 1,Nagpur,Banking & Finance,Accounting,Private Training Provider,176,104,Yes,Yes,1,12,8,2,57,54.81,2,30790,State Government,6,27,center192@skilldev.maharashtra.gov.in,+91-9888303869
TC_0193,Skill Development Center - Nagpur 7,Nagpur,Electronics,Mobile Repair,NGO,214,177,No,Yes,14,13,10,1,68,38.42,6,42204,No Certification,0,3,center193@skilldev.maharashtra.gov.in,+91-9361468684
TC_0194,Skill Development Center - Beed 10,Beed,Electronics,Mobile Repair,NGO,121,109,Yes,No,8,11,10,3,83,76.15,12,25477,NSDC,5,40,center194@skilldev.maharashtra.gov.in,+91-9046865892
TC_0195,Skill Development Center - Akola 9,Akola,Beauty & Wellness,Fitness Training,Private Training Provider,156,129,Yes,Yes,10,7,3,15,38,29.46,1,40630,Industry Certified,5,41,center195@skilldev.maharashtra.gov.in,+91-9910882416
TC_0196,Skill Development Center - Nagpur 7,Nagpur,Manufacturing,Machine Operation,Government ITI,109,85,Yes,No,0,11,11,3,48,56.47,1,27265,State Government,1,16,center196@skilldev.maharashtra.gov.in,+91-9997441341
TC_0197,Skill Development Center - Latur 4,Latur,Electronics,Embedded Systems,NSDC Partner,132,61,Yes,No,7,5,2,13,16,26.23,3,17489,Industry Certified,8,7,center197@skilldev.maharashtra.gov.in,+91-9435112651
TC_0198,Skill Development Center - Nanded 2,Nanded,Textile,Quality Inspection,NSDC Partner,274,122,No,Yes,10,11,2,12,52,42.62,6,19769,NSDC,10,32,center198@skilldev.maharashtra.gov.in,+91-9741975185
TC_0199,Skill Development Center - Parbhani 10,Parbhani,Retail,Inventory Management,Government ITI,158,49,Yes,Yes,11,9,1,13,1,2.04,2,45618,State Government,2,17,center199@skilldev.maharashtra.gov.in,+91-9980238945
TC_0200,Skill Development Center - Washim 8,Washim,Healthcare,Nursing Assistant,Government ITI,154,108,No,No,10,2,1,1,23,21.3,1,44526,No Certification,9,29,center200@skilldev.maharashtra.gov.in,+91-9985962893
TC_0201,Skill Development Center - Sindhudurg 1,Sindhudurg,Food Processing,Processing Operations,NSDC Partner,226,209,No,Yes,2,8,6,13,17,8.13,2,20342,No Certification,6,9,center201@skilldev.maharashtra.gov.in,+91-9356738591
TC_0202,Skill Development Center - Sindhudurg 3,Sindhudurg,Agriculture,Organic Farming,NSDC Partner,67,47,Yes,Yes,5,8,2,9,11,23.4,2,34463,Industry Certified,7,19,center202@skilldev.maharashtra.gov.in,+91-9412885098
TC_0203,Skill Development Center - Gadchiroli 4,Gadchiroli,Agriculture,Organic Farming,Industry Training Center,295,223,Yes,No,0,12,5,9,96,43.05,2,22061,NSDC,0,48,center203@skilldev.maharashtra.gov.in,+91-9684918220
TC_0204,Skill Development Center - Kolhapur 10,Kolhapur,Beauty & Wellness,Makeup Artistry,Government ITI,164,62,No,Yes,3,4,1,6,39,62.9,1,22717,Industry Certified,1,38,center204@skilldev.maharashtra.gov.in,+91-9210438123
TC_0205,Skill Development Center - Ratnagiri 4,Ratnagiri,Construction,Electrical Installation,Government ITI,248,130,No,No,13,2,2,17,8,6.15,12,33478,State Government,9,22,center205@skilldev.maharashtra.gov.in,+91-9960511969
TC_0206,Skill Development Center - Kolhapur 4,Kolhapur,Retail,Cashier Operations,NGO,294,175,Yes,Yes,5,11,4,4,16,9.14,3,12137,State Government,1,6,center206@skilldev.maharashtra.gov.in,+91-9389214809
TC_0207,Skill Development Center - Nanded 8,Nanded,Telecommunications,Field Service,Government ITI,115,113,Yes,Yes,5,2,2,2,40,35.4,2,38177,Industry Certified,4,16,center207@skilldev.maharashtra.gov.in,+91-9813274240
TC_0208,Skill Development Center - Jalgaon 2,Jalgaon,Textile,Fabric Design,Private Training Provider,263,230,Yes,No,8,5,1,1,112,48.7,3,37480,NSDC,4,34,center208@skilldev.maharashtra.gov.in,+91-9484430074
TC_0209,Skill Development Center - Sindhudurg 8,Sindhudurg,Textile,Textile Processing,Private Training Provider,51,15,Yes,Yes,3,10,9,16,0,0.0,6,41747,State Government,2,49,center209@skilldev.maharashtra.gov.in,+91-9612833213
TC_0210,Skill Development Center - Sangli 2,Sangli,Textile,Garment Making,Government ITI,146,65,Yes,Yes,13,10,1,15,15,23.08,2,33984,NSDC,9,30,center210@skilldev.maharashtra.gov.in,+91-9948152066
TC_0211,Skill Development Center - Osmanabad 8,Osmanabad,Manufacturing,Machine Operation,Private Training Provider,68,52,Yes,No,13,7,6,2,21,40.38,6,23702,Industry Certified,3,18,center211@skilldev.maharashtra.gov.in,+91-9962524911
TC_0212,Skill Development Center - Pune 7,Pune,Manufacturing,Welding Technology,Industry Training Center,71,47,Yes,No,4,14,8,15,20,42.55,2,44250,Industry Certified,4,57,center212@skilldev.maharashtra.gov.in,+91-9225531943
TC_0213,Skill Development Center - Aurangabad 2,Aurangabad,Media,Video Editing,NGO,154,121,Yes,No,5,12,2,17,47,38.84,9,11813,State Government,0,60,center213@skilldev.maharashtra.gov.in,+91-9026760087
TC_0214,Skill Development Center - Bhiwandi 3,Bhiwandi,Textile,Machine Operation,Private Training Provider,281,232,No,No,14,8,2,14,105,45.26,1,7634,Industry Certified,7,3,center214@skilldev.maharashtra.gov.in,+91-9801104890
TC_0215,Skill Development Center - Thane 10,Thane,Healthcare,Medical Lab Technology,Private Training Provider,65,49,Yes,No,13,8,6,12,30,61.22,1,39873,Industry Certified,5,31,center215@skilldev.maharashtra.gov.in,+91-9177307560
TC_0216,Skill Development Center - Nagpur 2,Nagpur,Automotive,Auto Electrician,Private Training Provider,189,163,No,Yes,14,8,8,8,122,74.85,2,31788,State Government,5,54,center216@skilldev.maharashtra.gov.in,+91-9632847241
TC_0217,Skill Development Center - Pune 6,Pune,Banking & Finance,Accounting,NGO,227,124,Yes,Yes,3,13,6,3,84,67.74,1,1987,NSDC,2,40,center217@skilldev.maharashtra.gov.in,+91-9925009065
TC_0218,Skill Development Center - Nandurbar 5,Nandurbar,Construction,Bar Bending,NGO,287,196,Yes,Yes,2,3,1,7,83,42.35,9,1720,No Certification,7,56,center218@skilldev.maharashtra.gov.in,+91-9738493461
TC_0219,Skill Development Center - Aurangabad 2,Aurangabad,Manufacturing,Quality Control,Private Training Provider,64,62,No,No,7,10,8,20,23,37.1,9,24681,State Government,8,43,center219@skilldev.maharashtra.gov.in,+91-9324863134
TC_0220,Skill Development Center - Satara 5,Satara,Electronics,PCB Design,Industry Training Center,189,85,No,No,5,15,4,2,1,1.18,2,29078,State Government,6,13,center220@skilldev.maharashtra.gov.in,+91-9499882400
TC_0221,Skill Development Center - Yavatmal 9,Yavatmal,Telecommunications,Tower Technician,Government ITI,134,48,Yes,No,15,10,4,7,27,56.25,9,12129,No Certification,1,19,center221@skilldev.maharashtra.gov.in,+91-9743826162
TC_0222,Skill Development Center - Nanded 6,Nanded,Banking & Finance,GST & Taxation,NSDC Partner,164,93,Yes,Yes,1,2,1,14,54,58.06,9,39916,No Certification,4,55,center222@skilldev.maharashtra.gov.in,+91-9196138761
TC_0223,Skill Development Center - Bhandara 2,Bhandara,Tourism & Hospitality,Housekeeping,NSDC Partner,183,70,Yes,No,11,4,1,13,22,31.43,2,39910,No Certification,9,17,center223@skilldev.maharashtra.gov.in,+91-9295915684
TC_0224,Skill Development Center - Washim 2,Washim,Textile,Garment Making,NSDC Partner,191,162,No,No,5,9,3,12,65,40.12,3,11090,State Government,2,18,center224@skilldev.maharashtra.gov.in,+91-9031361984
TC_0225,Skill Development Center - Kolhapur 9,Kolhapur,Automotive,Two Wheeler Mechanic,NGO,281,268,Yes,Yes,5,13,10,10,49,18.28,9,28836,NSDC,5,3,center225@skilldev.maharashtra.gov.in,+91-9114950010
TC_0226,Skill Development Center - Thane 10,Thane,Logistics,Supply Chain Basics,NSDC Partner,79,42,Yes,Yes,1,11,5,2,7,16.67,6,31644,Industry Certified,9,41,center226@skilldev.maharashtra.gov.in,+91-9974295149
TC_0227,Skill Development Center - Solapur 4,Solapur,Construction,Painting,Private Training Provider,125,109,No,Yes,3,2,2,15,3,2.75,12,11608,Industry Certified,9,5,center227@skilldev.maharashtra.gov.in,+91-9078668500
TC_0228,Skill Development Center - Sindhudurg 8,Sindhudurg,Electronics,PCB Design,NGO,246,188,No,No,4,11,8,9,99,52.66,6,39767,State Government,0,45,center228@skilldev.maharashtra.gov.in,+91-9956518907
TC_0229,Skill Development Center - Gondia 8,Gondia,Logistics,Warehouse Management,NGO,94,37,Yes,No,0,13,13,2,12,32.43,12,33618,Industry Certified,6,19,center229@skilldev.maharashtra.gov.in,+91-9190806301
TC_0230,Skill Development Center - Gadchiroli 6,Gadchiroli,Electronics,PCB Design,Industry Training Center,288,185,Yes,No,14,5,1,3,21,11.35,2,23973,Industry Certified,9,12,center230@skilldev.maharashtra.gov.in,+91-9336623328
TC_0231,Skill Development Center - Raigad 6,Raigad,Telecommunications,Network Installation,Industry Training Center,253,149,No,Yes,3,5,2,18,14,9.4,12,24480,No Certification,1,13,center231@skilldev.maharashtra.gov.in,+91-9450910864
TC_0232,Skill Development Center - Hingoli 4,Hingoli,Construction,Carpentry,Private Training Provider,209,70,No,No,0,15,9,10,24,34.29,12,44001,No Certification,4,3,center232@skilldev.maharashtra.gov.in,+91-9504862064
TC_0233,Skill Development Center - Kolhapur 1,Kolhapur,Food Processing,Cold Chain Management,Government ITI,181,176,No,Yes,15,11,1,18,65,36.93,9,5328,Industry Certified,2,32,center233@skilldev.maharashtra.gov.in,+91-9484969565
TC_0234,Skill Development Center - Solapur 3,Solapur,Healthcare,Nursing Assistant,Industry Training Center,132,128,Yes,No,6,14,7,3,30,23.44,2,2327,Industry Certified,0,52,center234@skilldev.maharashtra.gov.in,+91-9934713692
TC_0235,Skill Development Center - Ratnagiri 3,Ratnagiri,Electronics,Consumer Electronics Repair,Private Training Provider,149,66,Yes,No,2,14,2,3,13,19.7,1,31119,State Government,6,25,center235@skilldev.maharashtra.gov.in,+91-9096698236
TC_0236,Skill Development Center - Ratnagiri 10,Ratnagiri,Beauty & Wellness,Hair Styling,Industry Training Center,200,170,No,Yes,12,4,4,13,125,73.53,1,49656,Industry Certified,1,28,center236@skilldev.maharashtra.gov.in,+91-9853633893
TC_0237,Skill Development Center - Akola 10,Akola,Media,Content Creation,Industry Training Center,60,21,No,Yes,5,3,1,15,2,9.52,12,47612,State Government,1,52,center237@skilldev.maharashtra.gov.in,+91-9380445521
TC_0238,Skill Development Center - Amravati 10,Amravati,Beauty & Wellness,Hair Styling,Industry Training Center,243,111,No,Yes,3,14,7,16,26,23.42,3,37188,State Government,8,54,center238@skilldev.maharashtra.gov.in,+91-9278003536
TC_0239,Skill Development Center - Sangli 9,Sangli,Media,Social Media Management,Industry Training Center,238,94,No,No,0,7,3,18,44,46.81,12,7401,State Government,0,27,center239@skilldev.maharashtra.gov.in,+91-9113677045
TC_0240,Skill Development Center - Kolhapur 8,Kolhapur,Banking & Finance,Insurance,Private Training Provider,170,52,Yes,No,8,11,11,17,29,55.77,6,6634,Industry Certified,8,42,center240@skilldev.maharashtra.gov.in,+91-9921626960
TC_0241,Skill Development Center - Kolhapur 2,Kolhapur,Telecommunications,Field Service,Private Training Provider,225,158,Yes,Yes,2,11,8,19,27,17.09,6,32865,No Certification,4,11,center241@skilldev.maharashtra.gov.in,+91-9126254945
TC_0242,Skill Development Center - Satara 3,Satara,Healthcare,Medical Lab Technology,Industry Training Center,67,20,Yes,Yes,4,9,8,11,12,60.0,12,23029,State Government,9,37,center242@skilldev.maharashtra.gov.in,+91-9855933351
TC_0243,Skill Development Center - Dhule 8,Dhule,Telecommunications,Customer Support,Private Training Provider,290,127,No,No,5,8,7,15,56,44.09,2,1817,NSDC,4,60,center243@skilldev.maharashtra.gov.in,+91-9142766335
